PRIREF,NAME
1,Ingenieurschule für Bekleidungstechnik Berlin
5,"Strehmann, Johanna"
31,"Nationale Werbung in Stadt und Land, Dr. Werner Lucas"
32,Nationaler Werbedienst in Stadt und Land
61,"Riefenstahl, Zumpe & Co"
70,Lampson & Opdenhoff
73,"HTW Berlin, FB 5 (Gestaltung und Kultur)"
107,"Bolle, Hans-Dieter"
121,"Cauer, Emil d. J."
187,"Haug, Isolde"
197,"Hiltunin, Eilat"
199,"Hoffmann, Arthus (Arthur)"
210,"Inoue, Buchini"
264,"Lohbeck-Klameth, Dagmar"
266,"Longueville, Peter de"
351,"Schliephacke, Fritjof"
363,"Schlender, Detlef"
368,"Schwartz-Buky, Moshe"
391,"Teske, Berthold"
396,"Tongbragob-Strobel, Sutee"
429,"Zuchantke, Friedrich"
438,"Flir, Sabine"
447,"Schoeckel-Rostowskaja, Maria"
454,"Spellenberg, Anne Dore"
463,"Lüdke, Margit"
